,geo_value,time_value,children cant covid
2712,36119,2021-06-04,8.4144595
2801,6000,2021-06-05,6.9067611
2802,6001,2021-06-05,7.2636625
2803,6013,2021-06-05,6.0926467
2804,6019,2021-06-05,13.5181139
2805,6029,2021-06-05,7.953252
2806,6037,2021-06-05,10.2125091
2807,6059,2021-06-05,8.6489168
2808,6065,2021-06-05,8.3241357
2809,6067,2021-06-05,10.1739845
2810,6071,2021-06-05,12.6927775
2811,6073,2021-06-05,7.8023855
2812,6075,2021-06-05,2.6815866
2813,6077,2021-06-05,12.3652842
2814,6081,2021-06-05,7.7854625
2815,6085,2021-06-05,7.6679561
2816,6095,2021-06-05,7.6274763
2817,6097,2021-06-05,7.8729097
2818,6099,2021-06-05,4.0926564
2819,6111,2021-06-05,8.1172613
2927,36000,2021-06-05,7.3548637
2928,36005,2021-06-05,16.7126789
2929,36029,2021-06-05,5.5317016
2930,36047,2021-06-05,6.0463752
2931,36055,2021-06-05,3.9327763
2932,36059,2021-06-05,3.4310476
2933,36061,2021-06-05,6.1409048
2934,36067,2021-06-05,4.6926029
2935,36081,2021-06-05,7.9381195
2936,36103,2021-06-05,7.8394816
2937,36119,2021-06-05,6.5879691
3025,6000,2021-06-06,6.4399329
3026,6001,2021-06-06,6.9689822
3027,6013,2021-06-06,7.9879289
3028,6019,2021-06-06,14.2590956
3029,6029,2021-06-06,8.2033295
3030,6037,2021-06-06,10.4570713
3031,6059,2021-06-06,8.3436902
3032,6065,2021-06-06,7.7510243
3033,6067,2021-06-06,11.0919508
3034,6071,2021-06-06,12.7827154
3035,6073,2021-06-06,7.9861001
3036,6075,2021-06-06,3.0443441
3037,6077,2021-06-06,11.1573339
3038,6081,2021-06-06,7.6904776
3039,6085,2021-06-06,7.7476962
3040,6095,2021-06-06,6.1109815
3041,6097,2021-06-06,8.12317
3042,6099,2021-06-06,5.6328847
3043,6111,2021-06-06,14.7314518
3148,36000,2021-06-06,6.6758731
3149,36005,2021-06-06,18.3628424
3150,36029,2021-06-06,6.8919004
3151,36047,2021-06-06,6.9094635
